"Call","Date","Prec","Check","Sec","Class","ClassWFD","SpcNum","Name","State","County","Grid","1010","CWOps","Pwr","Future","Future","Future","Future","Future"
"KB9FBI","2024/10/16","","90","IL","","","","","IL","","","","","","","","","","",""
"KB9FNN","2024/10/16","","90","IL","","","","","IL","","","","","","","","","","",""
"KB9IVB","2024/10/16","","93","IN","","","","","IN","","","","","","","","","","",""
"KB9JIZ","2024/10/16","","94","IL","","","","","IL","","","","","","","","","","",""
"KB9JVY","2024/10/16","","95","OK","","","","","OK","","","","","","","","","","",""
"KB9JVY/5","2024/10/16","","95","OK","","","","","OK","","","","","","","","","","",""
"KB9KAK","2024/10/16","","95","IL","","","","","IL","","","","","","","","","","",""
"KB9KEG","2024/10/16","","95","WI","","","","","WI","","","","","","","","","","",""
"KB9LGS","2024/10/16","","95","IN","","","","","IN","","","","","","","","","","",""
"KB9LLD","2024/10/16","","95","MO","","","","","MO","","","","","","","","","","",""
"KB9LM","2024/10/16","","72","IL","","","","","IL","","","","","","","","","","",""
"KB9MLE","2024/10/16","","14","IN","","","","","IN","","","","","","","","","","",""
"KB9NW","2024/10/16","","75","IL","","","","","IL","","","","","","","","","","",""
"KB9ORA","2024/10/16","","96","IL","","","","","IL","","","","","","","","","","",""
"KB9ORH","2024/10/16","","96","IN","","","","","IN","","","","","","","","","","",""
"KB9OWD","2024/10/16","","96","WI","","","","","WI","","","","","","","","","","",""
"KB9OZI","2024/10/16","","96","IN","","","","","IN","","","","","","","","","","",""
"KB9Q","2024/10/16","","79","WI","","","","","WI","","","","","","","","","","",""
"KB9RPG","2024/10/16","","97","IN","","","","","IN","","","","","","","","","","",""
"KB9S","2024/10/16","","78","WI","","","","","WI","","","","","","","","","","",""
"KB9SJD","2024/10/16","","98","WI","","","","","WI","","","","","","","","","","",""
"KB9SNE","2024/10/16","","98","WI","","","","","WI","","","","","","","","","","",""
"KB9SSS","2024/10/16","","99","IN","","","","","IN","","","","","","","","","","",""
"KB9STQ","2024/10/16","","98","IN","","","","","IN","","","","","","","","","","",""
"KB9STR","2024/10/16","","98","IN","","","","","IN","","","","","","","","","","",""
"KB9SWI","2024/10/16","","98","IL","","","","","IL","","","","","","","","","","",""
"KB9SZW","2024/10/16","","98","VA","","","","","VA","","","","","","","","","","",""
"KB9THU","2024/10/16","","98","IN","","","","","IN","","","","","","","","","","",""
"KB9TQI","2024/10/16","","0","IN","","","","","IN","","","","","","","","","","",""
"KB9UKE","2024/10/16","","99","WI","","","","","WI","","","","","","","","","","",""
"KB9UWU","2024/10/16","","99","IL","","","","","IL","","","","","","","","","","",""
"KB9VHA","2024/10/16","","99","IL","","","","","IL","","","","","","","","","","",""
"KB9VNO","2024/10/16","","99","IL","","","","","IL","","","","","","","","","","",""
"KB9VTK","2024/10/16","","0","IN","","","","","IN","","","","","","","","","","",""
"KB9WQJ","2024/10/16","","0","IL","","","","","IL","","","","","","","","","","",""
"KB9X","2024/10/16","","63","MN","","","","","MN","","","","","","","","","","",""
"KB9YDI","2024/10/16","","0","WI","","","","","WI","","","","","","","","","","",""
"KB9YGD","2024/10/16","","0","IN","","","","","IN","","","","","","","","","","",""
"KB9YOJ","2024/10/16","","0","IN","","","","","IN","","","","","","","","","","",""
"KB9YOZ","2024/10/16","","0","IL","","","","","IL","","","","","","","","","","",""
"KB9YSI","2024/10/16","","1","IL","","","","","IL","","","","","","","","","","",""
"KB9ZEH","2024/10/16","","1","IL","","","","","IL","","","","","","","","","","",""
"KB9ZQU","2024/10/16","","71","IL","","","","","IL","","","","","","","","","","",""
"KB9ZTF","2024/10/16","","1","WI","","","","","WI","","","","","","","","","","",""
"KB9ZUV","2024/10/16","","0","IN","","","","","IN","","","","","","","","","","",""
"KC0ADP","2024/10/16","","97","KS","","","","","KS","","","","","","","","","","",""
"KC0ATC","2024/10/16","","81","CO","","","","","CO","","","","","","","","","","",""
"KC0BID","2024/10/16","","97","CO","","","","","CO","","","","","","","","","","",""
"KC0BZG","2024/10/16","","98","MN","","","","","MN","","","","","","","","","","",""
"KC0CC","2024/10/16","","4","MO","","","","","MO","","","","","","","","","","",""
"KC0CVA","2024/10/16","","81","CO","","","","","CO","","","","","","","","","","",""
"KC0DEB","2024/10/16","","98","KS","","","","","KS","","","","","","","","","","",""
"KC0DMF","2024/10/16","","98","MN","","","","","MN","","","","","","","","","","",""
"KC0EAK","2024/10/16","","98","ND","","","","","ND","","","","","","","","","","",""
"KC0FUE","2024/10/16","","99","KS","","","","","KS","","","","","","","","","","",""
"KC0GBC","2024/10/16","","9","CO","","","","","CO","","","","","","","","","","",""
"KC0GL","2024/10/16","","67","KS","","","","","KS","","","","","","","","","","",""
"KC0GLA","2024/10/16","","99","KS","","","","","KS","","","","","","","","","","",""
"KC0GM","2024/10/16","","59","IA","","","","","IA","","","","","","","","","","",""
"KC0HMM","2024/10/16","","0","NE","","","","","NE","","","","","","","","","","",""
"KC0HUJ","2024/10/16","","0","KS","","","","","KS","","","","","","","","","","",""
"KC0IDI","2024/10/16","","0","KS","","","","","KS","","","","","","","","","","",""
"KC0IGY","2024/10/16","","0","CO","","","","","CO","","","","","","","","","","",""
"KC0IKU","2024/10/16","","0","MN","","","","","MN","","","","","","","","","","",""
"KC0INP","2024/10/16","","0","MN","","","","","MN","","","","","","","","","","",""
"KC0IOX","2024/10/16","","0","SD","","","","","SD","","","","","","","","","","",""
"KC0IUW","2024/10/16","","0","KS","","","","","KS","","","","","","","","","","",""
"KC0JFH","2024/10/16","","0","CO","","","","","CO","","","","","","","","","","",""
"KC0JFY","2024/10/16","","0","MN","","","","","MN","","","","","","","","","","",""
"KC0JRW","2024/10/16","","1","NE","","","","","NE","","","","","","","","","","",""
"KC0KRI","2024/10/16","","1","MN","","","","","MN","","","","","","","","","","",""
"KC0KSA","2024/10/16","","1","CO","","","","","CO","","","","","","","","","","",""
"KC0LBT","2024/10/16","","1","MN","","","","","MN","","","","","","","","","","",""
"KC0LKV","2024/10/16","","95","MO","","","","","MO","","","","","","","","","","",""
"KC0LNK","2024/10/16","","1","MI","","","","","MI","","","","","","","","","","",""
"KC0LQL","2024/10/16","","1","MN","","","","","MN","","","","","","","","","","",""
"KC0LUX","2024/10/16","","1","MO","","","","","MO","","","","","","","","","","",""
"KC0M","2024/10/16","","77","MO","","","","","MO","","","","","","","","","","",""
"KC0MCK","2024/10/16","","1","SC","","","","","SC","","","","","","","","","","",""
"KC0MJY","2024/10/16","","2","CO","","","","","CO","","","","","","","","","","",""
"KC0MKS","2024/10/16","","2","MN","","","","","MN","","","","","","","","","","",""
"KC0MO","2024/10/16","","2","MO","","","","","MO","","","","","","","","","","",""
"KC0MYW","2024/10/16","","2","SD","","","","","SD","","","","","","","","","","",""
"KC0NFB","2024/10/16","","0","MN","","","","","MN","","","","","","","","","","",""
"KC0NOX","2024/10/16","","2","MO","","","","","MO","","","","","","","","","","",""
"KC0OBU","2024/10/16","","2","MI","","","","","MI","","","","","","","","","","",""
"KC0OYT","2024/10/16","","3","NE","","","","","NE","","","","","","","","","","",""
"KC0PBP","2024/10/16","","3","CO","","","","","CO","","","","","","","","","","",""
"KC0PNO","2024/10/16","","2","ND","","","","","ND","","","","","","","","","","",""
"KC0PQJ","2024/10/16","","0","CO","","","","","CO","","","","","","","","","","",""
"KC0PZP","2024/10/16","","3","MN","","","","","MN","","","","","","","","","","",""
"KC0QNA","2024/10/16","","0","MN","","","","","MN","","","","","","","","","","",""
"KC0QXE","2024/10/16","","74","CO","","","","","CO","","","","","","","","","","",""
"KC0RCN","2024/10/16","","92","MN","","","","","MN","","","","","","","","","","",""
"KC0RET","2024/10/16","","3","MN","","","","","MN","","","","","","","","","","",""
"KC0REY","2024/10/16","","3","IL","","","","","IL","","","","","","","","","","",""
"KC0RPC","2024/10/16","","4","NE","","","","","NE","","","","","","","","","","",""
"KC0RQH","2024/10/16","","4","MN","","","","","MN","","","","","","","","","","",""
"KC0RSX","2024/10/16","","4","MN","","","","","MN","","","","","","","","","","",""
"KC0STQ","2024/10/16","","4","MO","","","","","MO","","","","","","","","","","",""
"KC0SYS","2024/10/16","","0","KS","","","","","KS","","","","","","","","","","",""
"KC0TDJ","2024/10/16","","4","IA","","","","","IA","","","","","","","","","","",""
"KC0TMO","2024/10/16","","4","NE","","","","","NE","","","","","","","","","","",""
"KC0TOT","2024/10/16","","4","IL","","","","","IL","","","","","","","","","","",""
"KC0UTN","2024/10/16","","5","MN","","","","","MN","","","","","","","","","","",""
"KC0V","2024/10/16","","77","CO","","","","","CO","","","","","","","","","","",""
"KC0VEU","2024/10/16","","5","CO","","","","","CO","","","","","","","","","","",""
"KC0VFP","2024/10/16","","5","MN","","","","","MN","","","","","","","","","","",""
"KC0VKN","2024/10/16","","5","IA","","","","","IA","","","","","","","","","","",""
"KC0VNP","2024/10/16","","2","NE","","","","","NE","","","","","","","","","","",""
"KC0VQL","2024/10/16","","5","MO","","","","","MO","","","","","","","","","","",""
"KC0VRV","2024/10/16","","6","MN","","","","","MN","","","","","","","","","","",""
"KC0VYS","2024/10/16","","64","KS","","","","","KS","","","","","","","","","","",""
"KC0WCF","2024/10/16","","6","MN","","","","","MN","","","","","","","","","","",""
"KC0WCM","2024/10/16","","6","MO","","","","","MO","","","","","","","","","","",""
"KC0WE","2024/10/16","","69","MI","","","","","MI","","","","","","","","","","",""
"KC0WJ","2024/10/16","","78","NE","","","","","NE","","","","","","","","","","",""
"KC0WJT","2024/10/16","","6","KS","","","","","KS","","","","","","","","","","",""
"KC0YHU","2024/10/16","","0","IA","","","","","IA","","","","","","","","","","",""
"KC0YV","2024/10/16","","73","CO","","","","","CO","","","","","","","","","","",""
"KC0ZHF","2024/10/16","","7","SD","","","","","SD","","","","","","","","","","",""
"KC1ADT","2024/10/16","","13","CT","","","","","CT","","","","","","","","","","",""
"KC1AHU","2024/10/16","","13","WMA","","","","","MA","","","","","","","","","","",""
"KC1ANK","2024/10/16","","13","NH","","","","","NH","","","","","","","","","","",""
"KC1APK","2024/10/16","","13","VT","","","","","VT","","","","","","","","","","",""
"KC1AXJ","2024/10/16","","13","CT","","","","","CT","","","","","","","","","","",""
"KC1BAZ","2024/10/16","","14","EMA","","","","","MA","","","","","","","","","","",""
"KC1BB","2024/10/16","","86","AZ","","","","","AZ","","","","","","","","","","",""
"KC1CET","2024/10/16","","14","CT","","","","","CT","","","","","","","","","","",""
"KC1CRS","2024/10/16","","14","WMA","","","","","MA","","","","","","","","","","",""
"KC1CWF","2024/10/16","","14","EMA","","","","","MA","","","","","","","","","","",""
"KC1DWP","2024/10/16","","15","TN","","","","","TN","","","","","","","","","","",""
"KC1ENE","2024/10/16","","15","EMA","","","","","MA","","","","","","","","","","",""
"KC1ERO","2024/10/16","","15","CT","","","","","CT","","","","","","","","","","",""
"KC1F","2024/10/16","","69","NH","","","","","NH","","","","","","","","","","",""
"KC1HPJ","2024/10/16","","17","NH","","","","","NH","","","","","","","","","","",""
"KC1ILH","2024/10/16","","17","NH","","","","","NH","","","","","","","","","","",""
"KC1IMK","2024/10/16","","17","NH","","","","","NH","","","","","","","","","","",""
"KC1KUG","2024/10/16","","19","WMA","","","","","MA","","","","","","","","","","",""
"KC1LYO","2024/10/16","","19","WMA","","","","","MA","","","","","","","","","","",""
"KC1ME","2024/10/16","","54","ME","","","","","ME","","","","","","","","","","",""
"KC1MJB","2024/10/16","","19","EMA","","","","","MA","","","","","","","","","","",""
"KC1MK","2024/10/16","","71","STX","","","","","TX","","","","","","","","","","",""
"KC1NDL","2024/10/16","","55","EMA","","","","","MA","","","","","","","","","","",""
"KC1NOM","2024/10/16","","20","ME","","","","","ME","","","","","","","","","","",""
"KC1NRC","2024/10/16","","20","CT","","","","","CT","","","","","","","","","","",""
"KC1NY","2024/10/16","","67","ME","","","","","ME","","","","","","","","","","",""
"KC1SA","2024/10/16","","13","CT","","","","","CT","","","","","","","","","","",""
"KC1SQ","2024/10/16","","69","ME","","","","","ME","","","","","","","","","","",""
"KC1SS","2024/10/16","","87","VT","","","","","VT","","","","","","","","","","",""
"KC1YC","2024/10/16","","71","NH","","","","","NH","","","","","","","","","","",""
"KC1YL","2024/10/16","","15","WCF","","","","","FL","","","","","","","","","","",""
"KC2AGM","2024/10/16","","96","ENY","","","","","NY","","","","","","","","","","",""
"KC2AM","2024/10/16","","77","DE","","","","","DE","","","","","","","","","","",""
"KC2APG","2024/10/16","","90","WNY","","","","","NY","","","","","","","","","","",""
"KC2BEK","2024/10/16","","61","NLI","","","","","NY","","","","","","","","","","",""
"KC2DGC","2024/10/16","","98","WNY","","","","","NY","","","","","","","","","","",""
"KC2DPF","2024/10/16","","98","VA","","","","","VA","","","","","","","","","","",""
"KC2DTJ","2024/10/16","","98","ENY","","","","","NY","","","","","","","","","","",""
"KC2FNE","2024/10/16","","90","WNY","","","","","NY","","","","","","","","","","",""
"KC2FOL","2024/10/16","","81","ENY","","","","","NY","","","","","","","","","","",""
"KC2GDT","2024/10/16","","98","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2GLG","2024/10/16","","0","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2GOW","2024/10/16","","0","NLI","","","","","NY","","","","","","","","","","",""
"KC2HRG","2024/10/16","","1","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2IXN","2024/10/16","","1","ENY","","","","","NY","","","","","","","","","","",""
"KC2JCJ","2024/10/16","","2","ENY","","","","","NY","","","","","","","","","","",""
"KC2JMS","2024/10/16","","15","ENY","","","","","NY","","","","","","","","","","",""
"KC2JRQ","2024/10/16","","2","NLI","","","","","NY","","","","","","","","","","",""
"KC2KIS","2024/10/16","","2","ENY","","","","","NY","","","","","","","","","","",""
"KC2KME","2024/10/16","","2","WNY","","","","","NY","","","","","","","","","","",""
"KC2KTZ","2024/10/16","","3","WMA","","","","","MA","","","","","","","","","","",""
"KC2KZJ","2024/10/16","","3","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2LM","2024/10/16","","61","NM","","","","","NM","","","","","","","","","","",""
"KC2LNC","2024/10/16","","0","NC","","","","","NC","","","","","","","","","","",""
"KC2LRC","2024/10/16","","3","WNY","","","","","NY","","","","","","","","","","",""
"KC2LST","2024/10/16","","3","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2LYQ","2024/10/16","","3","NLI","","","","","NY","","","","","","","","","","",""
"KC2MBN","2024/10/16","","0","NLI","","","","","NY","","","","","","","","","","",""
"KC2MBO","2024/10/16","","3","ENY","","","","","NY","","","","","","","","","","",""
"KC2MBV","2024/10/16","","3","NLI","","","","","NY","","","","","","","","","","",""
"KC2NEO","2024/10/16","","14","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2NGC","2024/10/16","","68","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2NLM","2024/10/16","","2","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2NMZ","2024/10/16","","4","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2NYU","2024/10/16","","5","GA","","","","","GA","","","","","","","","","","",""
"KC2OGR","2024/10/16","","5","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2ORG","2024/10/16","","5","WPA","","","","","PA","","","","","","","","","","",""
"KC2OSR","2024/10/16","","5","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2OYY","2024/10/16","","0","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2PCG","2024/10/16","","6","WNY","","","","","NY","","","","","","","","","","",""
"KC2PDO","2024/10/16","","6","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2PNF","2024/10/16","","6","WNY","","","","","NY","","","","","","","","","","",""
"KC2QDU","2024/10/16","","6","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2QJB","2024/10/16","","6","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2QJF","2024/10/16","","6","WNY","","","","","NY","","","","","","","","","","",""
"KC2QYM","2024/10/16","","7","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2RA","2024/10/16","","1","NLI","","","","","NY","","","","","","","","","","",""
"KC2RT","2024/10/16","","69","AZ","","","","","AZ","","","","","","","","","","",""
"KC2RVD","2024/10/16","","7","WNY","","","","","NY","","","","","","","","","","",""
"KC2SGV","2024/10/16","","7","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2SIE","2024/10/16","","7","NNY","","","","","NY","","","","","","","","","","",""
"KC2SKI","2024/10/16","","7","ENY","","","","","NY","","","","","","","","","","",""
"KC2SNW","2024/10/16","","0","WNY","","","","","NY","","","","","","","","","","",""
"KC2SYF","2024/10/16","","8","NLI","","","","","NY","","","","","","","","","","",""
"KC2TA","2024/10/16","","71","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2TV","2024/10/16","","63","MI","","","","","MI","","","","","","","","","","",""
"KC2TVJ","2024/10/16","","8","ENY","","","","","NY","","","","","","","","","","",""
"KC2UBI","2024/10/16","","8","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2ULY","2024/10/16","","9","ENY","","","","","NY","","","","","","","","","","",""
"KC2UML","2024/10/16","","0","SNJ","","","","","NJ","","","","","","","","","","",""
"KC2VMP","2024/10/16","","9","WNY","","","","","NY","","","","","","","","","","",""
"KC2VPE","2024/10/16","","0","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2VVZ","2024/10/16","","10","WNY","","","","","NY","","","","","","","","","","",""
"KC2WQD","2024/10/16","","10","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2WQH","2024/10/16","","10","ENY","","","","","NY","","","","","","","","","","",""
"KC2WUF","2024/10/16","","10","NNJ","","","","","NJ","","","","","","","","","","",""
"KC2Y","2024/10/16","","70","SFL","","","","","FL","","","","","","","","","","",""
"KC2YEA","2024/10/16","","69","WNY","","","","","NY","","","","","","","","","","",""
"KC2ZDC","2024/10/16","","10","ENY","","","","","NY","","","","","","","","","","",""
"KC3AA","2024/10/16","","94","WPA","","","","","PA","","","","","","","","","","",""
"KC3AM","2024/10/16","","77","DE","","","","","DE","","","","","","","","","","",""
"KC3ASH","2024/10/16","","13","MDC","","","","","MD","","","","","","","","","","",""
"KC3BWA","2024/10/16","","14","MDC","","","","","MD","","","","","","","","","","",""
"KC3BXK","2024/10/16","","14","MDC","","","","","MD","","","","","","","","","","",""
"KC3DEI","2024/10/16","","14","DE","","","","","DE","","","","","","","","","","",""
"KC3DGC","2024/10/16","","13","EPA","","","","","PA","","","","","","","","","","",""
"KC3DIG","2024/10/16","","14","MDC","","","","","MD","","","","","","","","","","",""
"KC3DS","2024/10/16","","79","EPA","","","","","PA","","","","","","","","","","",""
"KC3EF","2024/10/16","","62","NFL","","","","","FL","","","","","","","","","","",""
"KC3EMA","2024/10/16","","15","MDC","","","","","MD","","","","","","","","","","",""
"KC3FHT","2024/10/16","","15","MDC","","","","","MD","","","","","","","","","","",""
"KC3HRS","2024/10/16","","16","EPA","","","","","PA","","","","","","","","","","",""
"KC3HXF","2024/10/16","","16","EPA","","","","","PA","","","","","","","","","","",""
"KC3KJQ","2024/10/16","","17","MDC","","","","","MD","","","","","","","","","","",""
"KC3LMV","2024/10/16","","18","MDC","","","","","","","","","","","","","","","",""
"KC3LOJ","2024/10/16","","18","DE","","","","","DE","","","","","","","","","","",""
"KC3M","2024/10/16","","61","EPA","","","","","PA","","","","","","","","","","",""
"KC3MHQ","2024/10/16","","18","EPA","","","","","PA","","","","","","","","","","",""
"KC3NHE","2024/10/16","","19","WPA","","","","","PA","","","","","","","","","","",""
"KC3OQ","2024/10/16","","82","MDC","","","","","MD","","","","","","","","","","",""
"KC3PCY","2024/10/16","","20","MDC","","","","","","","","","","","","","","","",""
"KC3PFT","2024/10/16","","20","EPA","","","","","PA","","","","","","","","","","",""
"KC3PRO","2024/10/16","","20","MDC","","","","","","","","","","","","","","","",""
"KC3QKT","2024/10/16","","20","EPA","","","","","PA","","","","","","","","","","",""
"KC3QU","2024/10/16","","46","AL","","","","","AL","","","","","","","","","","",""
"KC3QVQ","2024/10/16","","20","MDC","","","","","","","","","","","","","","","",""
"KC3R","2024/10/16","","18","WPA","","","","","MA","","","","","","","","","","",""
"KC3Y","2024/10/16","","18","EPA","","","","","PA","","","","","","","","","","",""
"KC4ATU","2024/10/16","","87","VA","","","","","VA","","","","","","","","","","",""
"KC4AUF","2024/10/16","","87","VA","","","","","VA","","","","","","","","","","",""
"KC4D","2024/10/16","","57","VA","","","","","VA","","","","","","","","","","",""
"KC4DKV","2024/10/16","","16","TN","","","","","TN","","","","","","","","","","",""
"KC4DPF","2024/10/16","","63","VA","","","","","VA","","","","","","","","","","",""
"KC4DV","2024/10/16","","76","VA","","","","","VA","","","","","","","","","","",""
"KC4EZN","2024/10/16","","88","NC","","","","","NC","","","","","","","","","","",""
"KC4FLT","2024/10/16","","88","AL","","","","","AL","","","","","","","","","","",""
"KC4GIA","2024/10/16","","88","VA","","","","","VA","","","","","","","","","","",""
"KC4GL","2024/10/16","","88","NC","","","","","NC","","","","","","","","","","",""
"KC4HW","2024/10/16","","78","AL","","","","","AL","","","","","","","","","","",""
"KC4LZN","2024/10/16","","89","WCF","","","","","FL","","","","","","","","","","",""
"KC4MYV","2024/10/16","","88","NFL","","","","","FL","","","","","","","","","","",""
"KC4NX","2024/10/16","","72","TN","","","","","TN","","","","","","","","","","",""
"KC4PX","2024/10/16","","61","SFL","","","","","FL","","","","","","","","","","",""
"KC4QYG","2024/10/16","","0","VA","","","","","VA","","","","","","","","","","",""
"KC4R","2024/10/16","","63","NFL","","","","","FL","","","","","","","","","","",""
"KC4RAC","2024/10/16","","13","SFL","","","","","FL","","","","","","","","","","",""
"KC4RSL","2024/10/16","","91","GA","","","","","GA","","","","","","","","","","",""
"KC4TEO","2024/10/16","","65","AL","","","","","AL","","","","","","","","","","",""
"KC4TIX","2024/10/16","","0","AL","","","","","AL","","","","","","","","","","",""
"KC4UCT","2024/10/16","","90","GA","","","","","GA","","","","","","","","","","",""
"KC4URW","2024/10/16","","90","TN","","","","","TN","","","","","","","","","","",""
"KC4VJB","2024/10/16","","91","AL","","","","","AL","","","","","","","","","","",""
"KC4WCY","2024/10/16","","91","SFL","","","","","FL","","","","","","","","","","",""
"KC4WQ","2024/10/16","","79","KY","","","","","KY","","","","","","","","","","",""
"KC4YBO","2024/10/16","","91","GA","","","","","GA","","","","","","","","","","",""
"KC4YOT","2024/10/16","","91","NC","","","","","NC","","","","","","","","","","",""
"KC4YPD","2024/10/16","","91","SCV","","","","","CA","","","","","","","","","","",""
"KC4YYX","2024/10/16","","82","VA","","","","","VA","","","","","","","","","","",""
"KC4ZA","2024/10/16","","58","VA","","","","","VA","","","","","","","","","","",""
"KC5CMX","2024/10/16","","93","NFL","","","","","FL","","","","","","","","","","",""
"KC5DI","2024/10/16","","14","LA","","","","","LA","","","","","","","","","","",""
"KC5EGR","2024/10/16","","93","MS","","","","","MS","","","","","","","","","","",""
"KC5FP","2024/10/16","","78","STX","","","","","TX","","","","","","","","","","",""
"KC5HAV","2024/10/16","","80","STX","","","","","TX","","","","","","","","","","",""
"KC5IJP","2024/10/16","","94","MS","","","","","MS","","","","","","","","","","",""
"KC5MMH","2024/10/16","","0","NTX","","","","","TX","","","","","","","","","","",""
"KC5MVZ","2024/10/16","","0","WTX","","","","","TX","","","","","","","","","","",""
"KC5NT","2024/10/16","","77","NTX","","","","","TX","","","","","","","","","","",""
"KC5NYO","2024/10/16","","95","OK","","","","","OK","","","","","","","","","","",""
"KC5OZT","2024/10/16","","95","NTX","","","","","TX","","","","","","","","","","",""
"KC5PRK","2024/10/16","","95","STX","","","","","TX","","","","","","","","","","",""
"KC5R","2024/10/16","","78","STX","","","","","LA","","","","","","","","","","",""
"KC5RPF","2024/10/16","","95","STX","","","","","TX","","","","","","","","","","",""
"KC5TA","2024/10/16","","77","NTX","","","","","TX","","","","","","","","","","",""
"KC5WA","2024/10/16","","77","LA","","","","","LA","","","","","","","","","","",""
"KC5WKL","2024/10/16","","96","NTX","","","","","TX","","","","","","","","","","",""
"KC5YED","2024/10/16","","96","MT","","","","","MT","","","","","","","","","","",""
"KC5YPU","2024/10/16","","0","WTX","","","","","TX","","","","","","","","","","",""
"KC5ZDV","2024/10/16","","97","OK","","","","","OK","","","","","","","","","","",""
"KC6AWX","2024/10/16","","88","SF","","","","","CA","","","","","","","","","","",""
"KC6KIM","2024/10/16","","90","WCF","","","","","FL","","","","","","","","","","",""
"KC6MMU","2024/10/16","","0","SV","","","","","CA","","","","","","","","","","",""
"KC6MZY","2024/10/16","","90","OR","","","","","OR","","","","","","","","","","",""
"KC6QLV","2024/10/16","","90","EB","","","","","CA","","","","","","","","","","",""
"KC6VVT","2024/10/16","","66","IL","","","","","IL","","","","","","","","","","",""
"KC6WTA","2024/10/16","","91","SJV","","","","","CA","","","","","","","","","","",""
"KC6ZBE","2024/10/16","","91","STX","","","","","TX","","","","","","","","","","",""
"KC6ZZT","2024/10/16","","68","EB","","","","","CA","","","","","","","","","","",""
"KC7AF","2024/10/16","","83","WWA","","","","","WA","","","","","","","","","","",""
"KC7AQZ","2024/10/16","","94","AZ","","","","","AZ","","","","","","","","","","",""
"KC7CS","2024/10/16","","75","AZ","","","","","AZ","","","","","","","","","","",""
"KC7DVF","2024/10/16","","94","AZ","","","","","AZ","","","","","","","","","","",""
"KC7EFP","2024/10/16","","94","WWA","","","","","WA","","","","","","","","","","",""
"KC7ESB","2024/10/16","","94","ID","","","","","ID","","","","","","","","","","",""
"KC7FCW","2024/10/16","","94","WWA","","","","","WA","","","","","","","","","","",""
"KC7FPB","2024/10/16","","94","OR","","","","","OR","","","","","","","","","","",""
"KC7H","2024/10/16","","4","EWA","","","","","WA","","","","","","","","","","",""
"KC7ITP","2024/10/16","","95","EWA","","","","","WA","","","","","","","","","","",""
"KC7J","2024/10/16","","58","WWA","","","","","WA","","","","","","","","","","",""
"KC7KFF","2024/10/16","","95","AZ","","","","","AZ","","","","","","","","","","",""
"KC7KNY","2024/10/16","","61","OR","","","","","OR","","","","","","","","","","",""
"KC7KZ","2024/10/16","","80","ID","","","","","ID","","","","","","","","","","",""
"KC7MIQ","2024/10/16","","95","WWA","","","","","WA","","","","","","","","","","",""
"KC7ND","2024/10/16","","71","TN","","","","","TN","","","","","","","","","","",""
"KC7NUP","2024/10/16","","95","NV","","","","","NV","","","","","","","","","","",""
"KC7NVR","2024/10/16","","95","AZ","","","","","AZ","","","","","","","","","","",""
"KC7NX","2024/10/16","","79","MT","","","","","MT","","","","","","","","","","",""
"KC7NY","2024/10/16","","79","MT","","","","","MT","","","","","","","","","","",""
"KC7PE","2024/10/16","","72","AZ","","","","","AZ","","","","","","","","","","",""
"KC7QY","2024/10/16","","79","NM","","","","","NM","","","","","","","","","","",""
"KC7SE","2024/10/16","","67","WWA","","","","","WA","","","","","","","","","","",""
"KC7TAK","2024/10/16","","96","OR","","","","","OR","","","","","","","","","","",""
"KC7UCT","2024/10/16","","90","GA","","","","","GA","","","","","","","","","","",""
"KC7V","2024/10/16","","72","AZ","","","","","AZ","","","","","","","","","","",""
"KC7WDL","2024/10/16","","97","WWA","","","","","WA","","","","","","","","","","",""
"KC7WUE","2024/10/16","","97","EWA","","","","","WA","","","","","","","","","","",""
"KC7ZFP","2024/10/16","","98","OR","","","","","OR","","","","","","","","","","",""
"KC8AZB","2024/10/16","","5","KY","","","","","KY","","","","","","","","","","",""
"KC8BUD","2024/10/16","","27","OH","","","","","OH","","","","","","","","","","",""
"KC8CAJ","2024/10/16","","0","MI","","","","","MI","","","","","","","","","","",""
"KC8CFM","2024/10/16","","96","OH","","","","","OH","","","","","","","","","","",""
"KC8CY","2024/10/16","","77","MI","","","","","MI","","","","","","","","","","",""
"KC8DGD","2024/10/16","","6","OH","","","","","OH","","","","","","","","","","",""
